證期會代碼,公司簡稱,分類代碼,分類名稱
04520P,國票FH,0999P,認售權證
04521P,元大N8,0999P,認售權證
04522P,元大N9,0999P,認售權證
04523P,元大X1,0999P,認售權證
04524P,元大X2,0999P,認售權證
04525P,元大X3,0999P,認售權證
04526P,KA永豐,0999P,認售權證
04527P,統一FT,0999P,認售權證
04528P,元富HF,0999P,認售權證
04529P,亞東62,0999P,認售權證
04530P,日盛C1,0999P,認售權證
04531P,富邦LQ,0999P,認售權證
04532P,永昌DB,0999P,認售權證
04533P,凱基BG,0999P,認售權證
04534P,元大X9,0999P,認售權證
04535P,元大Y1,0999P,認售權證
04536P,統一FV,0999P,認售權證
04537P,統一FW,0999P,認售權證
04538P,工銀MY,0999P,認售權證
04539P,元大Y7,0999P,認售權證
04540P,元大Y8,0999P,認售權證
04541P,元大Y9,0999P,認售權證
04542P,元大Z1,0999P,認售權證
04543P,元大Z2,0999P,認售權證
04544P,KJ永豐,0999P,認售權證
04545P,KM永豐,0999P,認售權證
04546P,日盛D1,0999P,認售權證
04547P,國泰FF,0999P,認售權證
04548P,凱基BJ,0999P,認售權證
04549P,凱基BK,0999P,認售權證
04550P,凱基BL,0999P,認售權證
04551P,統一FX,0999P,認售權證
04552P,統一FY,0999P,認售權證
04553P,元富HP,0999P,認售權證
04554P,日盛D4,0999P,認售權證
04555P,國泰FJ,0999P,認售權證
04556P,KW永豐,0999P,認售權證
04557P,富邦MA,0999P,認售權證
04558P,AN元大,0999P,認售權證
04559P,元富HY,0999P,認售權證
04560P,元富HZ,0999P,認售權證
04561P,AP元大,0999P,認售權證
04562P,AQ元大,0999P,認售權證
04563P,元富JJ,0999P,認售權證
04564P,元富JK,0999P,認售權證
04565P,康和EP,0999P,認售權證
04566P,LE永豐,0999P,認售權證
04567P,凱基CL,0999P,認售權證
04568P,日盛F3,0999P,認售權證
04569P,日盛F4,0999P,認售權證
04570P,群益6Q,0999P,認售權證
04571P,AX元大,0999P,認售權證
04572P,AY元大,0999P,認售權證
04573P,AZ元大,0999P,認售權證
04574P,BA元大,0999P,認售權證
04575P,中信7Y,0999P,認售權證
04576P,兆豐FU,0999P,認售權證
04577P,兆豐FV,0999P,認售權證
04578P,兆豐FW,0999P,認售權證
04579P,兆豐GA,0999P,認售權證
04580P,兆豐GB,0999P,認售權證
04581P,凱基CN,0999P,認售權證
04582P,國泰FU,0999P,認售權證
04583P,國泰FX,0999P,認售權證
04584P,工銀NL,0999P,認售權證
04585P,日盛H2,0999P,認售權證
04586P,日盛H3,0999P,認售權證
04587P,MF永豐,0999P,認售權證
04588P,群益7F,0999P,認售權證
04589P,群益7G,0999P,認售權證
04590P,BF元大,0999P,認售權證
04591P,BG元大,0999P,認售權證
04592P,BH元大,0999P,認售權證
04593P,亞東73,0999P,認售權證
04594P,富邦MU,0999P,認售權證
04595P,富邦MV,0999P,認售權證
04596P,富邦NJ,0999P,認售權證
04597P,元富KE,0999P,認售權證
04598P,元富KF,0999P,認售權證
04599P,日盛H8,0999P,認售權證
04600P,CS元大,0999P,認售權證
04601P,CT元大,0999P,認售權證
04602P,CU元大,0999P,認售權證
04603P,CV元大,0999P,認售權證
04604P,CW元大,0999P,認售權證
04605P,CX元大,0999P,認售權證
04606P,凱基DH,0999P,認售權證
04607P,凱基DR,0999P,認售權證
04608P,MU永豐,0999P,認售權證
04609P,MV永豐,0999P,認售權證
04610P,MW永豐,0999P,認售權證
04611P,群益7M,0999P,認售權證
04612P,群益7N,0999P,認售權證
04613P,群益7P,0999P,認售權證
04614P,群益7Q,0999P,認售權證
04615P,群益7R,0999P,認售權證
04616P,群益7S,0999P,認售權證
04617P,群益7T,0999P,認售權證
