04676P,凱基EK
04677P,凱基EL
04678P,03富邦
04679P,國票GJ
04680P,元富LK
04681P,統一JC
04682P,統一JD
04683P,統一JE
04684P,統一JF
04685P,EJ元大
04686P,EK元大
04687P,國泰GC
04688P,國泰GD
04689P,凱基EQ
04690P,凱基ET
04691P,兆豐KA
04692P,群益8P
04693P,群益8U
04694P,NK永豐
04695P,元富LM
04696P,元富LN
04697P,元富LP
04698P,康和FI
04699P,工銀NM
04700P,凱基EV
04701P,NQ永豐
04702P,國票GK
04703P,元富LR
04704P,統一JK
04705P,09富邦
04706P,EV元大
04707P,國票GP
04708P,統一JR
04709P,統一JS
04710P,統一JT
04711P,亞東92
04712P,13富邦
04713P,14富邦
04714P,工銀NP
04715P,元富LY
04716P,國票GS
04717P,凱基FB
04718P,日盛K8
04719P,兆豐KD
04720P,兆豐KU
04721P,亞東99
04722P,A1亞東
04723P,群益9K
04724P,群益9L
04725P,群益9M
04726P,群益9N
04727P,群益9P
04728P,20富邦
04729P,21富邦
04730P,日盛L2
04731P,日盛L3
04732P,凱基FD
04733P,凱基FH
04734P,國泰GH
04735P,永豐12
04736P,FG元大
04737P,FH元大
04738P,統一JY
04739P,統一JZ
04740P,元富LZ
04741P,元富MA
04742P,中信9N
04743P,中信9P
04744P,凱基FM
04745P,FL元大
04746P,FM元大
04747P,FN元大
04748P,元富ML
04749P,康和FQ
04750P,群益9S
04751P,群益AB
04752P,永豐19
04753P,28富邦
04754P,凱基FN
04755P,統一KD
04756P,統一KE
04757P,統一KF
04758P,群益AG
04759P,群益AH
04760P,國泰GM
04761P,FU元大
04762P,FV元大
04763P,GA元大
04764P,GB元大
04765P,GC元大
04766P,國泰GP
04767P,日盛M8
04768P,凱基FZ
04769P,凱基GB
04770P,凱基GC
04771P,凱基GD
04772P,凱基GK
04773P,凱基GM
04774P,兆豐LA
04775P,永豐36
04776P,群益AN
04777P,群益AP
04778P,康和FR
04779P,康和FT
04780P,元富MS
04781P,A7亞東
04782P,36富邦
04783P,37富邦
04784P,38富邦
04785P,中信9T
04786P,GH元大
04787P,群益AQ
04788P,日盛N2
04789P,日盛N3
04790P,凱基GV
04791P,永豐40
04792P,統一KP
04793P,元富MT
04794P,日盛N5
04795P,元富MY
04796P,元富MZ
04797P,元富NA
04798P,元富NB
04799P,GJ元大
04800P,GK元大
04801P,GL元大
04802P,GM元大
04803P,凱基GW
04804P,凱基GX
04805P,凱基GY
04806P,凱基GZ
04807P,凱基HA
04808P,中信9W
04809P,兆豐LK
04810P,兆豐LL
04811P,兆豐LM
04812P,兆豐LN
04813P,兆豐LP
04814P,兆豐LQ
04815P,兆豐LR
04816P,群益AY
04817P,群益AZ
04818P,永豐47
04819P,永豐48
04820P,GW元大
04821P,GX元大
04822P,日盛N9
04823P,凱基HB
04824P,凱基HC
04825P,凱基HD
04826P,凱基HE
04827P,凱基HF
04828P,B4亞東
04829P,48富邦
04830P,統一KT
04831P,統一KU
04832P,統一KV
04833P,統一KW
04834P,元富NC
04835P,元富ND
04836P,元富NE
04837P,工銀NS
04838P,元富NS
04839P,元富NT
04840P,元富NU
04841P,53富邦
04842P,54富邦
04843P,HE元大
04844P,HF元大
04845P,C1亞東
04846P,群益BI
04847P,群益BJ
04848P,群益BK
04849P,群益BL
04850P,群益BM
04851P,兆豐MM
04852P,元富1A
04853P,元富1B
04854P,元富1C
04855P,56富邦
04856P,日盛X7
04857P,日盛X8
04858P,HN元大
04859P,HP元大
04860P,永豐73
04861P,群益BU
04862P,凱基HW
04863P,統一LB
04864P,元富1H
04865P,元富1J
04866P,元富1K
04867P,C7亞東
04868P,C8亞東
04869P,C9亞東
04870P,D1亞東
